,0
1128,Ruminococcus champanellensis
1129,Ruminococcus flavefaciens
1130,Ruminococcus gauvreauii
1131,Ruminococcus sp.
1132,Ruminococcus sp. N15.MGS-57
1133,SR1 bacterium oral taxon 874
1134,SR1 bacterium oral taxon 875
1135,Saccharofermentans
1136,Saccharomyces
1137,Saccharomyces cerevisiae
1138,Saccharomycetaceae
1139,Saccharomycetales
1140,Saccharomycetales sp.
1141,Saccharomycetes
1142,Saccharomycodaceae
1143,Saccharopolyspora
1144,Salmonella
1145,Salmonella enterica
1146,Saprolegnia
1147,Saprospirales
1148,Saprospiria
1149,Sarcina
1150,Sarcina sp.
1151,Scardovia
1152,Scardovia inopinata
1153,Schaalia cardiffensis
1154,Schaalia odontolytica
1155,Schlegelella
1156,Schlegelella aquatica
1157,Schwartzia
1158,Sediminibacterium
1159,Segetibacter
1160,Selenomonadaceae
1161,Selenomonadales
1162,Selenomonas
1163,Selenomonas noxia
1164,Selenomonas sp.
1165,Selenomonas sputigena
1166,Senegalimassilia
1167,Senegalimassilia anaerobia
1168,Serratia
1169,Serratia marcescens
1170,Shewanella
1171,Shewanellaceae
1172,Shigella
1173,Shigella boydii
1174,Shigella dysenteriae
1175,Shigella flexneri
1176,Shigella sonnei
1177,Shigella sp. PAMC 28760
1178,Shuttleworthia
1179,Silene
1180,Simonsiella
1181,Simonsiella muelleri
1182,Sinobacteraceae
1183,Sinsheimervirus
1184,Skermanella
1185,Slackia
1186,Slackia exigua
1187,Slackia heliotrinireducens
1188,Slackia piriformis
1189,Sneathia sanguinegens
1190,Solanum melongena
1191,Solirubrobacterales
1192,Solobacterium
1193,Solobacterium moorei
1194,Sordariomycetes
1195,Sphingobacteriaceae
1196,Sphingobacteriales
1197,Sphingobacteriia
1198,Sphingobacterium
1199,Sphingobacterium multivorum
1200,Sphingobium
1201,Sphingobium xenophagum
1202,Sphingobium yanoikuyae
1203,Sphingomonadaceae
1204,Sphingomonadales
1205,Sphingomonas
1206,Sphingomonas azotifigens
1207,Sphingomonas paucimobilis
1208,Spirochaeta
1209,Spirochaetaceae
1210,Spirochaetales
1211,Spirochaetes
1212,Spirochaetia
1213,Spiroplasmataceae
1214,Sporacetigenium
1215,Sporobacter
1216,Sporobacter termitidis
1217,Sporosarcina
1218,Staphylococcaceae
1219,Staphylococcus
1220,Staphylococcus aureus
1221,Staphylococcus aureus subsp. aureus ST228
1222,Staphylococcus auricularis
1223,Staphylococcus epidermidis
1224,Staphylococcus pasteuri
1225,Staphylococcus sciuri
1226,Stenotrophomonas
1227,Stenotrophomonas acidaminiphila
1228,Stenotrophomonas sp.
1229,Sterigmatomyces elviae
1230,Stomatobaculum
1231,Stomatobaculum longum
1232,Streptococcaceae
1233,Streptococcus
1234,Streptococcus alactolyticus
1235,Streptococcus anginosus
1236,Streptococcus australis
1237,Streptococcus constellatus
1238,Streptococcus cristatus
1239,Streptococcus gallolyticus subsp. gallolyticus
1240,Streptococcus gordonii
1241,Streptococcus infantis
1242,Streptococcus intermedius
1243,Streptococcus lutetiensis
1244,Streptococcus mitis
1245,Streptococcus mutans
1246,Streptococcus oralis
1247,Streptococcus parasanguinis
1248,Streptococcus peroris
1249,Streptococcus phage PhiSpn_200
1250,Streptococcus pneumoniae
1251,Streptococcus pseudopneumoniae
1252,Streptococcus salivarius
1253,Streptococcus sanguinis
1254,Streptococcus sobrinus
1255,Streptococcus sp.
1256,Streptococcus sp. 11aTha1
1257,Streptococcus sp. I-G2
1258,Streptococcus sp. VT 162
1259,Streptococcus sp. oral clone DP009
1260,Streptococcus sp. oral taxon 058
1261,Streptococcus sp. oral taxon 431
1262,Streptococcus thermophilus
1263,Streptomyces
1264,Streptomyces sp. SBT349
1265,Streptophyta
1266,Subdoligranulum
1267,Subdoligranulum sp. 4_3_54A2FAA
1268,Subdoligranulum variabile
1269,Succinatimonas
1270,Succiniclasticum
1271,Succinispira
1272,Succinivibrio
1273,Succinivibrionaceae
1274,Sulfurimonas
1275,Sulfuritalea
1276,Sutterella
1277,Sutterella wadsworthensis
1278,Sutterellaceae
1279,Synergistaceae
1280,Synergistales
1281,Synergistes
1282,Synergistetes
1283,Synergistia
1284,Syntrophococcus
1285,Syntrophomonadaceae
1286,Syntrophus
1287,TM7 phylum sp. oral taxon 348
1288,TM7 phylum sp. oral taxon 352
1289,Talaromyces islandicus
1290,Tannerella
1291,Tannerella forsythia
1292,Tenericutes
1293,Tepidimonas
1294,Tequatrovirus
1295,Terrisporobacter
1296,Terrisporobacter glycolicus
1297,Thalassospira
1298,Thaumarchaeota
1299,Thermaceae
1300,Thermaerobacter
1301,Thermales
1302,Thermicanus
1303,Thermoanaerobacterales Family IV. Incertae Sedis
1304,Thermodesulfobiaceae
1305,Thermomonosporaceae
1306,Thermus
1307,Thielaviopsis
1308,Thielaviopsis punctulata
1309,Thiotrichales
1310,Tissierellaceae
1311,Torulaspora
1312,Torulaspora delbrueckii
1313,Toxocara
1314,Trabulsiella
1315,Tremellales
1316,Treponema
1317,Treponema amylovorum
1318,Treponema denticola
1319,Treponema lecithinolyticum
1320,Treponema putidum
1321,Treponema socranskii
1322,Treponema sp. oral taxon 250
1323,Trichinella
1324,Trichococcus
1325,Trichosporon
1326,Trichosporonaceae
1327,Trichosporonales
1328,Truepera
1329,Trueperaceae
1330,Turicibacter
1331,Turicibacter sanguinis
1332,Turicibacter sp.
1333,Tyzzerella
1334,Tyzzerella nexilis
1335,Urechidicola croceus
1336,Variibacter
1337,Veillonella
1338,Veillonella atypica
1339,Veillonella dispar
1340,Veillonella parvula
1341,Veillonella rogosae
1342,Veillonella sp.
1343,Veillonella sp. oral taxon 158
1344,Veillonella sp. oral taxon 780
1345,Veillonellaceae
1346,Verrucomicrobia
1347,Verrucomicrobiaceae
1348,Verrucomicrobiae
1349,Verrucomicrobiales
1350,Vibrio
1351,Vibrionaceae
1352,Vibrionales
1353,Vibrionimonas
1354,Victivallaceae
1355,Victivallales
1356,Victivallis
1357,Victivallis vadensis
1358,Vogesella perlucida
1359,Wallemia
1360,Wautersiella
1361,Weissella
1362,Weissella viridescens
1363,Wenyingzhuangia
1364,Wenyingzhuangia fucanilytica
1365,Wolbachia
1366,Xanthomonadaceae
1367,Xanthomonadales
1368,Xylariales
1369,Zhouia
1370,[Bacteroides] pectinophilus
1371,[Candida] glabrata
1372,[Clostridium] leptum
1373,[Clostridium] symbiosum
1374,[Eubacterium] brachy
1375,[Eubacterium] cellulosolvens
1376,[Eubacterium] infirmum
1377,[Eubacterium] rectale
1378,[Eubacterium] siraeum
1379,[Eubacterium] sulci
1380,[Eubacterium] yurii
1381,[Ruminococcus] gnavus
1382,[Ruminococcus] lactaris
1383,[Ruminococcus] torques
1384,candidate division SR1
1385,unclassified Lachnospiraceae
1386,unclassified Lactobacillales
1387,unclassified Rikenellaceae
1388,unclassified Ruminococcaceae
1389,uncultured Corynebacteriaceae bacterium
1390,uncultured Prevotellaceae bacterium
1391,uncultured Selenomonas sp.
1392,uncultured Spirochaeta sp.
1393,uncultured Stomatobaculum sp.
1394,uncultured Succinivibrionaceae bacterium
1395,uncultured Veillonellaceae bacterium
