,0
263,Candidatus Arthromitus
264,Candidatus Azobacteroides
265,Candidatus Azobacteroides pseudotrichonymphae
266,Candidatus Blochmannia
267,Candidatus Endolissoclinum
268,Candidatus Gracilibacteria
269,Candidatus Koribacter
270,Candidatus Midichloriaceae
271,Candidatus Parcubacteria
272,Candidatus Portiera
273,Candidatus Portiera aleyrodidarum
274,Candidatus Regiella
275,Candidatus Regiella insecticola
276,Candidatus Saccharibacteria
277,Candidatus Soleaferrea
278,Candidatus Solibacter
279,Candidatus Stoquefichus massiliensis
280,Candidatus Tremblaya
281,Capnocytophaga
282,Capnocytophaga canimorsus
283,Capnocytophaga gingivalis
284,Capnocytophaga leadbetteri
285,Capnocytophaga ochracea
286,Capnocytophaga sputigena
287,Cardiobacteriaceae
288,Cardiobacteriales
289,Cardiobacterium
290,Carnobacteriaceae
291,Carnobacterium
292,Catabacter
293,Catabacter hongkongensis
294,Catenibacterium
295,Catenibacterium mitsuokai
296,Catonella
297,Catonella morbi
298,Caudovirales
299,Caulobacter
300,Caulobacteraceae
301,Caulobacterales
302,Cellulomonadaceae
303,Cellulosimicrobium
304,Cellulosimicrobium sp. TH-20
305,Cenarchaeales
306,Centipeda
307,Centipeda periodontii
308,Centrocestus
309,Cetobacterium
310,Cetobacterium somerae
311,Chaetomiaceae
312,Chaetomium globosum
313,Chitinophagaceae
314,Chlamydia
315,Chlamydia pneumoniae
316,Chlamydiae
317,Chlamydiales
318,Chlamydiia
319,Chloracidobacterium
320,Chloroflexi
321,Christensenella
322,Christensenella minuta
323,Christensenellaceae
324,Chromatiales
325,Chryseobacterium
326,Chryseobacterium sp.
327,Chryseobacterium sp. IHB B 17019
328,Chrysochromulina ericina virus
329,Citrobacter
330,Citrobacter farmeri
331,Citrobacter sp.
332,Cladophialophora
333,Cladosporium
334,Clavibacter
335,Clavibacter michiganensis
336,Cloacibacillus
337,Cloacibacterium
338,Clostridia
339,Clostridia bacterium UC5.1-2D9
340,Clostridiaceae
341,Clostridiales
342,Clostridiales Family IV. Incertae Sedis
343,Clostridiales Family XIII. Incertae Sedis
344,Clostridiales Family XIV. Incertae Sedis
345,Clostridiales bacterium
346,Clostridioides difficile
347,Clostridium
348,Clostridium aminophilum
349,Clostridium baratii
350,Clostridium butyricum
351,Clostridium celatum
352,Clostridium clostridioforme
353,Clostridium colicanis
354,Clostridium colinum
355,Clostridium dakarense
356,Clostridium disporicum
357,Clostridium hylemonae
358,Clostridium innocuum
359,Clostridium methylpentosum
360,Clostridium perfringens
361,Clostridium phoceensis
362,Clostridium sp.
363,Clostridium sp. 7_2_43FAA
364,Clostridium sp. ATCC 29733
365,Clostridium sp. L2-50
366,Clostridium sp. M62/1
367,Clostridium sp. SY8519
368,Clostridium sporosphaeroides
369,Coccolithovirus
370,Colletotrichum higginsianum
371,Collinsella
372,Collinsella aerofaciens
373,Collinsella intestinalis
374,Collinsella stercoris
375,Collinsella tanakaei
376,Comamonadaceae
377,Comamonas
378,Conexibacteraceae
379,Congregibacter
380,Contracaecum
381,Coprobacillus
382,Coprobacillus sp.
383,Coprobacter
384,Coprobacter fastidiosus
385,Coprococcus
386,Coprococcus catus
387,Coprococcus comes
388,Coprococcus eutactus
389,Coprococcus sp. HPP0048
390,Coriobacteriaceae
391,Coriobacteriaceae bacterium 68-1-3
392,Coriobacteriales
393,Coriobacteriia
394,Coriobacterium
395,Coriobacterium glomerans
396,Cortinariaceae
397,Corynebacteriaceae
398,Corynebacteriales
399,Corynebacterium
400,Corynebacterium appendicis
401,Corynebacterium durum
402,Corynebacterium matruchotii
403,Corynebacterium sp.
404,Corynebacterium striatum
405,Crenarchaeota
406,Crepidotus
407,Cronobacter
408,Cupriavidus
409,Cutibacterium
410,Cutibacterium acnes
411,Cyanobacteria
412,Cystofilobasidiaceae
413,Cystofilobasidiales
414,Debaryomyces fabryi
415,Deferribacteraceae
416,Deferribacterales
417,Deferribacteres
418,Defluviicoccus
419,Defluviitalea
420,Defluviitaleaceae
421,Dehalobacter
422,Dehalobacterium
423,Deinococcaceae
424,Deinococcales
425,Deinococci
426,Deinococcus
427,Deinococcus grandis
428,Deinococcus-Thermus
429,Delftia
430,Deltaproteobacteria
431,Denitratisoma
432,Desulfobacterales
433,Desulfobulbus
434,Desulfocapsa
435,Desulfococcus
436,Desulfovibrio
437,Desulfovibrio longreachensis
438,Desulfovibrio piger
439,Desulfovibrio vietnamensis
440,Desulfovibrionaceae
441,Desulfovibrionales
442,Devosia
443,Dialister
444,Dialister invisus
445,Dialister pneumosintes
446,Diaphorobacter
447,Diaporthe ampelina
448,Dietzia
449,Dioszegia
450,Dipylidium
451,Dorea
452,Dorea formicigenerans
453,Dorea longicatena
454,Edwardsiella
455,Eggerthella
456,Eggerthella lenta
457,Eggerthella sp. YY7918
458,Eggerthellaceae
459,Eggerthellaceae bacterium AT8
460,Eikenella
461,Eisenbergiella
462,Enhydrobacter
463,Enhydrobacter aerosaccus
464,Enorma
465,Enorma massiliensis
466,Enterobacter
467,Enterobacterales
468,Enterobacteria phage f1
469,Enterobacteriaceae
470,Enterobacteriaceae bacterium
471,Enterocloster asparagiformis
472,Enterocloster bolteae
473,Enterocloster citroniae
474,Enterocloster lavalensis
475,Enterococcaceae
476,Enterococcus
477,Enterococcus durans
478,Enterococcus faecalis
479,Enterococcus faecium
480,Enterococcus saccharolyticus
481,Enterocytozoon
482,Enterocytozoon bieneusi
483,Enterorhabdus
484,Enterorhabdus caecimuris
485,Enterorhabdus mucosicola
486,Entyloma
487,Entylomataceae
488,Entylomatales
489,Epsilonproteobacteria
490,Epulopiscium
491,Erwinia
492,Erysipelatoclostridium
493,Erysipelatoclostridium ramosum
494,Erysipelotrichaceae
495,Erysipelotrichales
496,Erysipelotrichia
497,Erysiphaceae
498,Erysiphe necator
499,Erythrobacteraceae
500,Escherichia
501,Escherichia albertii
502,Escherichia coli
503,Escherichia fergusonii
504,Ethanoligenens
